,key,value,name
79,Ingredients,"Cornstarch,Chili Pepper and Other Spices,Maltodextrin,Salt,Dehydrated Onion,Dehydrated Garlic,Paprika (as Color),Red Pepper,Disodium Inosinate,Paprika Extractives (as Color),.","Frenchs Seasoning Mix, Taco, Original"
82,Ingredients,"Juice Concentrates (Pear, Grape, Pineapple),Apricots,Citric Acid,Fruit Pectin,Natural Flavor.",Polaner All Fruit Apricot Spreadable Fruit 10 Oz  (pack of 12)
83,Ingredients,"Chicken Stock,Salt Flavorings,Chicken Fat,Yeast Extract,Sugar,Vegetable Juice Concentrate (Carrot, Celery and Onion),.",Manischewitz B58089 Manischewitz Natural Chicken Broth-12x14 Oz
84,Ingredients,"Garlic,Sunflower Oil,and Parsley.","Dry Onion & Garlic: Coarse Grind Blend W/parsley California Style Garlic Powder, 6 Oz"
86,Ingredients,"Chamomile. Renowned for its natural sedative properties,Little flowers are most commonly used in teas prepared for the relief of insomnia and mild digestive disorders,Infusion can also be used to soothe skin burns,Gluten free","Badia Chamomile, .25 Oz"
87,Ingredients,"Shelled Pumpkin Seeds,Crushed Tomato,Granulated Garlic,Granulated Onion,Dried Basil,Unrefined Sea Salt,Dried Parsley,Dried Oregano,Black Pepper.",Superseedz - Gourmet Pumpkin Seeds Tomato Italiano - 5 Oz.
88,Ingredients,Ground Cinnamon.,Ground Cinnamon
89,Ingredients,"Organic Evaporated Cane Juice,Organic Brown Rice Syrup,Citric Acid,Natural Apple Flavor.","Go Organic Hard Candies, Organic, Apple"
90,Ingredients,"Beef,Water,Corn Syrup,Contains Less Than 2 of Salt,Sodium Lactate,Flavor,Dextrose,Hydrolyzed Beef Stock,Autolyzed Yeast,Sodium Phosphates,Sodium Diacetate,Sodium Ascorbate,Sodium Nitrite,Extractives of Paprika.",Oscar Mayer Beef Bologna Cold Cuts 12 Oz. Pack
91,Ingredients,"Paprika,Less Than 2 Silicon Dioxide To Prevent Caking.","Spice Islands: Paprika Spice, 2.1 Oz"
92,Ingredients,"Isomalt,Citric Acid,Natural And Artificial Flavors,Sucralose,Colors (Red 40, Blue1),.","Life Savers Sugar Free Wild Cherry Hard Candy, 2.75 Oz"
93,Ingredients,Caraway Seed,"Tone's: Seed Caraway, .6 Oz"
94,Ingredients,"Water,Green Jalapeno Pepper,Salt,Acetic Acid,Fresh Onion,Citric Acid,Xanthan Gum,Ascorbic Acid,Garlic,Sodium Benzoate,Oregano Powder,Black Pepper,Artificial Colors FD&C Blue and FD&C Yellow,Cumin.",Salsita Jalapeno
95,Ingredients,Annato seed,Badia Annato Seed 10 Oz -pack of 12
96,Ingredients,"Fresh Steamed Chickpeas,Sesame Tahini,Water,Sunflower Il,Olive Oil,Roasted Garlic,Citric Acid,Salt,Gum Arabic,Spices,1/10 of 1% Sodium Benzoate,Potassium Sorbate (to Preserve Freshness),.","Cedar's Smooth N' Creamy Roasted Garlic Hommus, 12 Oz"
97,Ingredients,Himalayan Pink Salt.,Spice Bottle Pink Himalayan Salt Fine Grind
98,Ingredients,"Damson Plum,Sugar,Cane Sugar,Concentrated Lemon Juice,Fruit Pectin.",Bonne Maman Plum Preserves
99,Ingredients,"Chili Pepper and Other Spices,Salt,Garlic Powder and Red Pepper","Tone's: Powder Hot Chili, .75 Oz"
100,Ingredients,"Salt,Calcium Silicate (An Anti-Caking Agent)","Morton Table Salt, 4 Lbs."
101,Ingredients,"Vanilla Bean Extractives In Water,Alcohol (35),and Corn Syrup. Value priced,Kosher","Mccormick Pure Vanilla Extract, 8 Fl Oz"
102,Ingredients,"Salt,Partially Hydrogenated Cottonseed Oil,Monosodium Glutamate,Corn Starch,Chicken Fat,Hydrolyzed Corn Protein,Sugar,Dried Chicken Meat,Onion Powder,Water,Garlic Powder,Turmeric,Caramel Color,Parsley,Spices,Citric Acid,Disodium Guanylate,Disodium Inosinate.",Bouillon Chicken Reduced Sodium
103,Ingredients,Apple Juice and Sugar.,Syrup Apple
105,Ingredients,Garlic Minced,"Tone's: Minced Garlic, .9 Oz"
107,Ingredients,"Sea Salt,Spices (Black Pepper, Dill Seed, Coriander, Red Pepper),And Dehydrated Garlic.",Steak and Burger Seasoning
109,Ingredients,"Chili Pepper,Salt,Cumin,Oregano,Garlic,Silicon Dioxide.","Mexene Original Chile Powder Seasoning, 2 Oz"
111,Ingredients,"Organic Brown Rice Syrup,Organic Cane Sugar,Gelatin,Natural Flavors,Organic Fruit Juice (Apple and/or Pear, Black Carrot, Pomegranate),Citric Acid,Malic Acid,Ascorbic Acid,Organic Sunflower Oil,Organic Carnauba Wax.",Yum Earth - Organic Gluten Free Gummy Worms - 4 Oz.
112,Ingredients,"Potato Starch,Tapioca Dextrin,Salt,Partially Hydrogenated Cottonseed Oil,Cottonseed Oil,Spices,Turmeric,Natural and Artificial Flavor.","Streits Soup Base, Chicken Flavor"
113,Ingredients,Arbol Chili Pods.,Arbol Chili Pods
114,Ingredients,Ground Cumin.,"Orale Ground Cumin, 1.25 Oz"
115,Ingredients,"Water,Beef Broth,Sea Salt,Yeast Extract,Sugar,Natural Flavor,Salt,Evaporated Cane Juice,Beef Tallow*,Spices,Onion Powder,Beef,Garlic Powder,Gelatin.*Adds a trivial amount of Fat.","Progresso 100% Natural Beef Flavored Broth, 32.0 Oz"
117,Ingredients,"Strawberries,Sugar,Peaches,Dried Peaches (Contains Sulfur Dioxide to Promote Color Retention),Lemon Juice.",Fruit Sprd Strawberry Peach (pack of 6)
118,Ingredients,"Cinnamon Fragrant aroma and wonderful flavor*NEWLINE*,Used mainly for desserts,fruit preparations and beverages*NEWLINE*,Can also be use in meat stews,rice and vegetables*NEWLINE*,One of the oldest spices known*NEWLINE*,Gluten free",Cinnamon Powder
119,Ingredients,"Sugar,Corn Syrup,Artificial Flavor,Gum Arabic,Confectioner's Glaze,Carnauba Wax,Red 40.",Decor Hard Cinnamon Decorating Candy
121,Ingredients,"Garlic Cloves,Water,Salt Lactic Acid.",Garlic Cloves
123,Ingredients,"Raspberry*,Apple Juice*,Pectin.*From organic farming.",Fiordifrutta Raspberry Spread 8. 82 Oz -pack of 6
124,Ingredients,Guajillo Chili Pods.,"Orale Medium Hot Guajillo Family Pack Chili Pods, 12 Oz"
125,Ingredients,"Pork,Maltodextrin,Salt,Paprika,Water,Citric Acid,Spices,Sugar,Wine,Garlic,Extractives of Paprika,Sodium Erythorbate,Sodium Nitrite,Natural Smoke Flavor.",Chorizo
126,Ingredients,"Mussels,Water,Vinegar,Sugar,Salt,Spices,Citric Acid. May Contain Shell Fragments.","Roland Marinated Mussels, 7 Oz"
127,Ingredients,"Tomatoes,Water,Seedless Raspberry Puree,Brown Sugar,Green Chile Peppers,Sweet Green Peppers,Onions,Distilled Vinegar,Corn Starch,Salt,Jalapeno Peppers,Garlic,Chipotle Pepper,Spices,Cilantro,Ancho Chile Pepper.","Mrs. Renfro's Raspberry Chipotle Salsa Medium, 16.0 Oz"
128,Ingredients,"Sea Salt,Garlic,Spices,Onion,Red Bell Pepper and Red Pepper. All natural.,Made with 100 sea salt.,Rub into beef or pork roasts or season mushrooms,bell peppers and potatoes,Gluten free.",New Weber Chicago Steak Seasoning Grilling 2.5oz ~ Free S/h
130,Ingredients,"Sugar,Corn Syrup,Modified Food Starch,Contains 2% or Less of the Following Apple Juice Concentrate,Grape Juice Concentrate,Lemon Puree,Cherry Juice Concentrate,Orange Puree,Citric Acid,Fumaric Acid,Sodium Citrate,Sodium Lactate,Natural and Artificial Flavors,Color Added,Red 40 Lake,Blue 1 & 2 Lake,Yellow 5 & 6 Lake,Beeswax,Carnauba Wax,Confectioner's Glaze.","Jelly Belly Jelly Beans, Sours"
131,Ingredients,"Fruit Syrup,Red Raspberries,Lemon Juice Concentrate,Fruit Pectin.","Dickinsons Spreadable Fruit, Red Raspberry"
132,Ingredients,100% Organic Cinnamon,"Mccormick Cinnamon Saigon Ground Organic, 1.5 Oz (pack of 3)"
133,Ingredients,Garlic Powder,"Tone's: Powder Garlic, .9 Oz"
135,Ingredients,"Sea Salt,Yellow Prussiate of Soda. Does Not Supply Iodide. Pure,Distinctive flavor,Dissolves quickly upon contact with moisture,Harvested from the waters of the Pacific Ocean,Kosher","Badia Sea Salt Grinder, 4.25 Oz"
138,Ingredients,"Corn Syrup,Sugar,Modified Food Starch (Corn),Artificial Flavor,Red 40.",Sathers Artificially Flavored Cherry Slices Candy #10103 4.85 Oz - 12 Ea
139,Ingredients,"Fruit Syrup,Boysenberries,Water,Lemon Juice Concentrate,Fruit Pectin.","Dickinsons Spreadable Fruit, Boysenberry, Seedless"
141,Ingredients,"100% Whole Grain Brown Rice Flour,Milled Golden Flax Seed.","Hodgson Mill Gluten Free Lasagna Brown Rice Pasta, 8 Oz"
143,Ingredients,"Mustard,Turmeric.","S&b Oriental Hot Mustard Powder, 3 Oz"
144,Ingredients,"Sardines,Tomato Sauce,Spices and Salt.","La Preferida Sardines In Tomato Sauce, 15 Oz"
146,Ingredients,"Tomatoes (Organic),(Tomatoes (Organic), Tomato Juice (Organic), Citric Acid, Calcium Chloride),Tomato Puree (Organic),(Water, Tomato Paste (Organic)),Onions (Organic),Green Bell Peppers (Organic),Red Bell Peppers (Organic),Sea Salt,Jalapenos (Organic),Dried Cane Syrup (Organic),Vinegar (Organic),Cilantro (Organic),Spices (Organic),.","La Preferida Salsa, Mild"
147,Ingredients,"Certified Gluten-Free Oats,Brown Sugar,Raspberries,Strawberries,Cinnamon.","Love Grown Oats, Hot, Strawberry Raspberry"
150,Ingredients,Whole Allspice.,"Orale Whole Allspice, 1 Oz"
152,Ingredients,"Crab Meat,Water,Salt,Salt Sodium Acid Pyrophosphate (to Maintain Flavor And Firmness),Citric Acid,Calcium Disodium Edta (to Retain Color),Sodium Sulfite (Preservative),.",White Crab Meat
153,Ingredients,"Filtered Water,Sugar,Citric Acid,Tea,Natural Flavors.","Iced Tea, Lemon, 16 fl oz (473 ml)"
156,Ingredients,"Salt, Red Pepper, Sage, Sugar and Black Pepper,Salt,Red Pepper,Sage,Sugar and Black Pepper","A.C. Legg INC #10 Pork Sausage Seasoning, 8 oz"
157,Ingredients,"Certified Gluten Free Oats, Cane Sugar, Flax Meal, Natural Flavors, Chia Seeds, Quinoa, Amaranth, Sea Salt,Certified Gluten Free Oats, Cane Sugar, Flax Meal, Freeze Dried Strawberries, Chia Seeds, Quinoa, Amaranth, Natural Flavors, Sea Salt.",Bakery On Main Gluten-Free
159,Ingredients,"Guava Pulp,Refined Sugar,Citric Acid,FDC Red 3,FDC Red 40,Pectin.",Guava Paste
162,Ingredients,100 Pure Coffee.,"Coffeehouse Series Coffee, Ground, Gourmet Supreme, Dark, 34.5 oz (2 lb 2.5 oz) (978 g)"
166,Ingredients,"Coffee, Artificial Flavor.,Coffee,Natural and Artificial Flavor.",Folgers Toasted Hazelnut Flavored Ground Coffee
167,Ingredients,"Cashews,Dried Apples (Apples, Sugar, Natural Pomegranate Flavor, Citric Acid, Fruit Vegetable Juice (for Color)),Organic Evaporated Cane Juice,Organic Tapioca Syrup,Brown Sugar,Natural Vanilla Extract,Sea Salt,Dried Pomegranate Juice Concentrate,Dried Orange Peel,Pure Ground Vanilla Beans.",Glazed Nuts - Cashews With Pomegranate And Vanilla - 1.5 Oz - Case Of 9
168,Ingredients,"Pistachios,Salt.","Wonderful Pistachios Roasted & Salted Pistachios, 10 Oz"
169,Ingredients,Basmati Rice.,"Roland Basmati Rice, 35.27 Oz"
171,Ingredients,"White bean flour, rice blend (rice flour, brown rice), dehydrated potato, organic sunflower oil, chia powder, organic evaporated cane juice, organic red bell pepper powder, sea salt, organic tapioca solids, organic onion powder, organic tomato powder, organic garlic powder, natural flavor, organic spices, natural extractives of paprika, citric acid,White Bean Flour,Rice Blend (Rice Flour, Brown Rice),Dehydrated Potato,Organic Sunflower Oil,Tapioca Flour,Quinoa Flour,Lentil Flour,Chia Powder,Organic Evaporated Cane Juice,Organic Red Bell Pepper Powder,Sea Salt,Organic Tapioca Solids,Organic Onion Powder,Organic Tomato Powder,Organic Garlic Powder,Natural Flavor,Organic Spices,Natural Extractives of Paprika,Citric Acid.",LesserEvil Super Bites
172,Ingredients,"Sugar,Corn Syrup,Natural And Artificial Flavors,Us Certified Colors Including Yellow 5,Yellow 6,Blue 1,Red 3 Red 40.","Sevigny's Thin Ribbon Candy, 9 Oz"
173,Ingredients,"Contains: Paprika,Cumin,Cayenne Pepper,Garlic,Parsley,Oregano and Black Pepper.",Ssnng Chili Pwdr
174,Ingredients,"Sucrose,Corn Syrup,Artificial Flavor,Acacia (Gum Arabic),Confectioner's Glaze,Carnauba Wax*,Red 40,White Mineral Oil*. *Adds A Trivial Amount of Fat.","Red Hots Cinnamon Flavored Candy, 6 Oz"
179,Ingredients,"Water,High Fructose Corn Syrup,Natural Flavors,Citric Acid,Sodium Hexametaphosphate (to protect taste),Phosphoric Acid,Red Rooibos Tea Powder,Potassium Sorbate and Sodium Benzoate (to protect Taste),Sucralose,Calcium Disodium EDTA (to protect taste),Vitamin B6 (Pyridoxine Hydrochloride),Red 40,Vitamin B12 (Cyanocobalamin),.",FUZE ICED TEA STRAWB2LT ERRY RED TEA-KO
181,Ingredients,"Salt,Granulated Garlic,Tricalcium Phosphate (Prevents Caking),Oregano,Turmeric.",Adobo Without Pepper
190,Ingredients,"Mustard Leaves,Onion,Ginger,Garlic,Chillies,Salt,Cornflour and Vegetable Oil.",Natco - Sarson Ka Saag - 800g
191,Ingredients,"Salmon,Salt,Spices,Natural Alder Smoke.",Alaska Smokehouse Smoked Sockeye Fillet in Gift Box
194,Ingredients,"sugar,blueberries,jalapenos,water,fruit pectin,citric acid Volume: 1 PT. (16 Fl Oz.),(473ml),Fat Free,Sodium Free,50 calories per serving Daves Specialty Foods is a division of Daves Christmas Wonderland Olde World Market,a WNY tradition and world famous Christmas Store,based in Cheektowaga,NY and serving Buffalo and the WNY area for over 33 years. We are proud to share Buffalos rich ethnic heritage and traditions with our specialty food products.Closely guarded old family recipe Open kettle processing (made in small batches),for superior flavor Homemade in Saegertown,Pa in the heart of Amish country Reg. PA Department of Agriculture and FDA inspected This sweet fresh blueberry jam has a spicy jalapeno kick that will add more flavor than all your other spreads and jams Ingredients: sugar,blueberries,jalapenos,water,fruit pectin,citric acid Volume: 1 PT. (16 Fl Oz.),(473ml),Fat Free,Sodium Free,50 calories per serving Daves Specialty Foods is a division of Daves Christmas Wonderland Olde World Market,a WNY tradition and world famous Christmas Store,based in Cheektowaga,NY and serving Buffalo and the WNY area for over 33 years. We are proud to share Buffalos rich ethnic heritage and traditions with our specialty food products.",Byler's Homemade Amish Country Blueberry Jalapeno Jam 16oz
195,Ingredients,"grapes,white grape juice,water,sugar-free pectin,citric acidVolume: 1 PT. (16 Fl Oz.),(473ml),Fat Free,Sodium Free,No Sugar AddedDaves Specialty Foods is a division of Daves Christmas Wonderland & Olde World Market,a WNY tradition and world famous Christmas Store,based in Cheektowaga,NY and serving Buffalo and the WNY area for over 33 years. We are proud to share Buffalos rich ethnic heritage and traditions with our specialty food products.No Sugar Added Grape Fruit SpreadItem #DMG BYLERS 231Closely guarded old family recipeOpen kettle processing (made in small batches),for superior flavorHomemade in Saegertown,PA in the heart of Amish CountryReg. PA Department of Agriculture and FDA inspectedThis jelly is just as delicious as our regular flavor,but has 40% less sugar! Real fruit is blended with white grape juice to preserve tasteIngredients: grapes,white grape juice,water,sugar-free pectin,citric acidVolume: 1 PT. (16 Fl Oz.),(473ml),Fat Free,Sodium Free,No Sugar AddedDaves Specialty Foods is a division of Daves Christmas Wonderland & Olde World Market,a WNY tradition and world famous Christmas Store,based in Cheektowaga,NY and serving Buffalo and the WNY area for over 33 years. We are proud to share Buffalos rich ethnic heritage and traditions with our specialty food products.",Byler's Relish House Homemade Amish Country No Sugar Added Grape Jelly 16 oz.
198,Ingredients,"Spices Including Turmeric,Salt,Dehydrated Onion.",Badia Curry Powder Jamaican Style -- 16 oz
199,Ingredients,"Paprika,and Silicon Dioxide! (Added to Make Free Flowing),.","Mccormick Paprika, 18-Ounce"
202,Ingredients,100 Arabica Coffee.,Tassimo King of Joe Dark Roast Coffee T Discs 16 Ct Bag
203,Ingredients,Cold Pressed Sesame Oil.,"Loriva Toasted Sesame Oil, 8 oz"
204,Ingredients,"Peas,Water,Sugar,Sea Salt.","Del Monte Sweet Peas, 29 Oz"
206,Ingredients,Fine Black Tea Expertly Selected from the Anhui Province in China and Sri Lanka.,Twinings English Afternoon Tea
212,Ingredients,Pre-Washed Quinoa.,Roland Pre-washed Red Quinoa
213,Ingredients,"Selected Cucumbers,Water,Acetic Acid,Salt,Spices.",Pickles Cucumbers In Brine
214,Ingredients,"Prepared Great Northern Beans,Water,Salt,and Calcium Chloride.",Hanover Beans Great Northern
217,Ingredients,"Spring Water,CO2,Natural Flavors.","Deer Park Sparkling Lemon Natural Spring Water, 33.8 Fl Oz"
219,Ingredients,Linden Leaves Orange Leaves.,Linden Leaves Tea
223,Ingredients,"Orange Juice from Concentrate (Filtered Water and Concentrated Orange Juice),Natural Flavor.",Ocean Spray�� 100% Orange Juice 15.2 Fl. Oz. Bottle
225,Ingredients,Spices,McCormick Perfect Pinch Fiesta Citrus
226,Ingredients,"Our Real Tea Starts with the Finest Tea Leaves and is made from: Filtered Water,Citric Acid,Tea,Aspartame,Potassium Citrate,Natural Flavors.","Diet Snapple Lemon Tea, 16 Fl Oz"
228,Ingredients,"Dehydrated Garlic,Salt,Spices,Paprika (As Color),Dehydrated Onion,Red Pepper.","Spice Islands World Flavors Louisiana Style Cajun Seasoning, 2.3 Oz, (pack of 3)"
229,Ingredients,Golden Hominy.,Golden Hominy Corn
231,Ingredients,"Carbonated Water,Sucrose,Glucose,Citric Acid,Taurine,Sodium Citrate,Caffeine,Niacinamide,Calcium Pantothenate,Pyridoxine HCI,Vitamin B12,Natural and Artificial Flavors,Sucrose Acetate Isobutyrate,Glycerol Esters of Wood Rosins,Colors.","Red Bull Yellow Edition, Tropical Energy Drink, 8.4 Fl Oz Cans, 12 Pack"
232,Ingredients,"Filtered Water,Citric Acid,Natural Flavors,Potassium Sorbate,Potassium Benzoate,Acesulfame Potassium,Sucralose,Magnesium Sulfate,Sodium Citrate,Potassium Chloride,Salt",Dasani Natural Strawberry Flavored Water 20 Oz Bottles - Pack of 24
233,Ingredients,"Carbonated Water,Citric Acid,Sodium Citrate,Lemon Juice Concentrate,Malic Acid,Aspartame,Modified Food Starch,Sodium Benzoate (Preservative),Potassium Sorbate (Preservation),Caffeine,Natural Flavors,Ester Gum,Calcium Disodium Edta (to Protect Flavor),Yellow 5.","Diet Sunkist Sparkling Lemonade, 12 Fl Oz, 12 Pack"
234,Ingredients,"Long Grain Rice Enriched with Iron (Ferric Orthophosphate),Niacin,Thiamine (Thiamine Mononitrate),and Folic Acid.","Canilla Rice, Enriched, Extra Long Grain"
235,Ingredients,"100 Pure Apple Juice,Apple Juice Concentrate,Water and Malic Acid.","Kedem 100% Apple Juice All Natural, 64.0 Fl Oz"
236,Ingredients,"Our Real Tea Starts with the Finest Tea Leaves and is made from: Filtered Water,Sugar,Citric Acid,Tea,Natural Flavors.","Snapple Raspberry Tea, 16 Fl Oz"
238,Ingredients,"Manzanilla Olives,Water,Pimiento,Salt,Lactic Acid,Sodium Alginate,Guar Gum,Potassium Sorbate as a Preservative and Calcium Chloride.",Manzanilla Olives
